iter	Passed	Remaining
402	13049	19331
403	13080	19296
404	13112	19264
405	13146	19233
406	13181	19205
407	13216	19176
408	13249	19145
409	13288	19122
410	13324	19095
411	13359	19066
412	13396	19040
413	13433	19014
414	13464	18980
415	13498	18949
416	13527	18913
417	13560	18881
418	13591	18846
419	13621	18810
420	13651	18774
421	13679	18736
422	13710	18702
423	13740	18666
424	13770	18630
425	13802	18597
426	13836	18567
427	13865	18530
428	13893	18492
429	13924	18457
430	13954	18422
431	13983	18385
432	14013	18349
433	14043	18314
434	14073	18279
435	14116	18260
436	14148	18228
437	14178	18193
438	14209	18158
439	14242	18126
440	14275	18095
441	14305	18060
442	14337	18026
443	14369	17994
444	14402	17962
445	14433	17928
446	14463	17893
447	14492	17856
448	14521	17820
449	14552	17786
450	14581	17749
451	14610	17713
452	14638	17676
453	14667	17639
454	14697	17604
455	14727	17570
456	14759	17537
457	14789	17502
458	14818	17465
459	14847	17429
460	14878	17396
461	14909	17361
462	14937	17324
463	14965	17288
464	14996	17254
465	15026	17219
466	15053	17181
467	15084	17147
468	15115	17114
469	15146	17080
470	15177	17046
471	15208	17013
472	15238	16978
473	15269	16945
474	15302	16913
475	15332	16878
476	15363	16845
477	15398	16816
478	15430	16783
479	15459	16748
480	15489	16713
481	15522	16681
482	15551	16645
483	15585	16615
484	15621	16587
485	15651	16553
486	15683	16521
487	15717	16490
488	15749	16457
489	15779	16423
490	15811	16390
491	15841	16356
492	15872	16323
493	15902	16289
494	15934	16255
495	15963	16221
496	15994	16187
497	16025	16153
498	16055	16120
499	16086	16086
500	16115	16050
501	16144	16015
502	16174	15981
503	16203	15946
504	16232	15911
505	16263	15877
506	16293	15843
507	16324	15810
508	16358	15779
509	16391	15748
510	16424	15717
511	16451	15680
512	16483	15648
513	16511	15612
514	16541	15578
515	16573	15546
516	16605	15513
517	16634	15478
518	16668	15447
519	16701	15416
520	16735	15386
521	16770	15356
522	16803	15325
523	16835	15292
524	16867	15261
525	16901	15230
526	16932	15197
527	16963	15164
528	16994	15130
529	17025	15097
530	17054	15062
531	17085	15030
532	17115	14996
533	17145	14962
534	17175	14928
535	17205	14894
536	17233	14858
537	17263	14824
538	17292	14789
539	17322	14756
540	17350	14720
541	17382	14688
542	17416	14658
543	17443	14621
544	17472	14587
545	17502	14553
546	17535	14522
547	17565	14488
548	17596	14455
549	17625	14421
550	17654	14386
551	17685	14353
552	17715	14319
553	17746	14286
554	17777	14254
555	17807	14220
556	17837	14186
557	17868	14153
558	17899	14120
559	17929	14087
560	17961	14055
561	17991	14021
562	18019	13986
563	18049	13953
564	18079	13919
565	18109	13886
566	18138	13851
567	18168	13818
568	18200	13786
569	18229	13751
570	18261	13720
571	18291	13686
572	18320	13652
573	18352	13620
574	18387	13591
575	18416	13556
576	18448	13524
577	18489	13499
578	18516	13463
579	18546	13430
580	18577	13397
581	18605	13362
582	18634	13328
583	18664	13295
584	18697	13263
585	18729	13231
586	18759	13198
587	18790	13166
588	18818	13131
589	18848	13097
590	18877	13064
591	18907	13031
592	18938	12998
593	18967	12964
594	18997	12930
595	19025	12896
596	19055	12863
597	19083	12828
598	19111	12794
599	19144	12762
600	19174	12729
601	19204	12696
602	19237	12665
603	19267	12632
604	19296	12598
605	19327	12566
606	19358	12533
607	19392	12503
608	19424	12471
609	19454	12438
610	19485	12405
611	19515	12372
612	19546	12339
613	19575	12306
614	19604	12272
615	19635	12240
616	19664	12206
617	19696	12174
618	19725	12141
619	19755	12107
620	19785	12074
621	19813	12040
622	19845	12009
623	19875	11976
624	19904	11942
625	19935	11910
626	19965	11877
627	19995	11844
628	20023	11810
629	20055	11778
630	20086	11746
631	20116	11713
632	20145	11679
633	20176	11647
634	20206	11615
635	20239	11583
636	20270	11551
637	20305	11521
638	20338	11490
639	20374	11460
640	20410	11431
641	20443	11399
642	20481	11371
643	20513	11339
644	20542	11306
645	20574	11274
646	20606	11242
647	20637	11210
648	20669	11178
649	20702	11147
650	20737	11117
651	20769	11085
652	20816	11061
653	20847	11029
654	20878	10996
655	20904	10961
656	20935	10929
657	20964	10896
658	20993	10863
659	21022	10829
660	21051	10796
661	21082	10763
662	21110	10730
663	21141	10698
664	21171	10665
665	21198	10631
666	21229	10599
667	21260	10566
668	21288	10533
669	21318	10500
670	21352	10469
671	21387	10439
672	21417	10406
673	21449	10374
674	21481	10342
675	21511	10310
676	21546	10279
677	21576	10247
678	21606	10214
679	21635	10181
680	21667	10149
681	21698	10117
682	21729	10085
683	21759	10052
684	21788	10019
685	21817	9986
686	21847	9953
687	21878	9921
688	21906	9888
689	21938	9856
690	21967	9823
691	21997	9790
692	22027	9758
693	22055	9724
694	22086	9692
695	22114	9659
696	22143	9626
697	22173	9593
698	22203	9561
699	22232	9528
700	22262	9495
701	22292	9463
702	22324	9431
703	22355	9399
704	22390	9368
705	22420	9336
706	22449	9303
707	22478	9270
708	22512	9240
709	22544	9208
710	22574	9175
711	22605	9143
712	22636	9111
713	22663	9078
714	22692	9045
715	22725	9013
716	22758	8982
717	22787	8950
718	22817	8917
719	22846	8884
720	22875	8851
721	22905	8819
722	22934	8786
723	22964	8754
724	22992	8721
725	23023	8689
726	23052	8656
727	23081	8624
728	23116	8593
729	23148	8561
730	23181	8530
731	23212	8498
732	23243	8466
733	23275	8435
734	23306	8403
735	23338	8371
736	23372	8340
737	23402	8308
738	23432	8275
739	23460	8242
740	23489	8210
741	23521	8178
742	23551	8146
743	23579	8113
744	23609	8081
745	23638	8048
746	23670	8017
747	23703	7985
748	23733	7953
749	23763	7921
750	23790	7888
751	23820	7855
752	23850	7823
753	23878	7790
754	23909	7758
755	23937	7725
756	23964	7692
757	23992	7659
758	24034	7631
759	24063	7599
760	24092	7566
761	24125	7535
762	24154	7502
763	24182	7470
764	24211	7437
765	24243	7406
766	24273	7373
767	24302	7341
768	24336	7310
769	24368	7278
770	24398	7246
771	24428	7214
772	24458	7182
773	24487	7150
774	24533	7122
775	24563	7090
776	24593	7058
777	24624	7026
778	24655	6994
779	24683	6962
780	24716	6930
781	24746	6898
782	24778	6867
783	24809	6835
784	24838	6802
785	24869	6770
786	24897	6738
787	24927	6706
788	24955	6673
789	24986	6642
790	25017	6610
791	25046	6577
792	25076	6545
793	25107	6514
794	25137	6481
795	25164	6449
796	25195	6417
797	25226	6385
798	25255	6353
799	25282	6320
800	25314	6289
801	25344	6257
802	25380	6226
803	25411	6194
804	25441	6162
805	25470	6130
806	25499	6098
807	25531	6066
808	25559	6034
809	25589	6002
810	25620	5970
811	25651	5939
812	25680	5906
813	25724	5878
814	25754	5846
815	25783	5814
816	25811	5781
817	25842	5749
818	25870	5717
819	25899	5685
820	25931	5653
821	25961	5621
822	25990	5589
823	26020	5557
824	26050	5525
825	26078	5493
826	26108	5461
827	26137	5429
828	26167	5397
829	26195	5365
830	26226	5333
831	26257	5301
832	26287	5270
833	26318	5238
834	26348	5206
835	26382	5175
836	26416	5144
837	26444	5112
838	26475	5080
839	26505	5048
840	26535	5016
841	26567	4985
842	26597	4953
843	26627	4921
844	26656	4889
845	26687	4857
846	26719	4826
847	26748	4794
848	26778	4762
849	26808	4730
850	26838	4699
851	26868	4667
852	26899	4635
853	26930	4604
854	26961	4572
855	26990	4540
856	27021	4508
857	27049	4476
858	27080	4445
859	27112	4413
860	27140	4381
861	27177	4350
862	27208	4319
863	27237	4287
864	27268	4255
865	27286	4222
866	27317	4190
867	27347	4158
868	27382	4127
869	27413	4096
870	27442	4064
871	27472	4032
872	27503	4001
873	27533	3969
874	27570	3938
875	27599	3906
876	27630	3875
877	27660	3843
878	27689	3811
879	27719	3779
880	27750	3748
881	27778	3716
882	27806	3684
883	27835	3652
884	27867	3621
885	27899	3589
886	27929	3558
887	27961	3526
888	27989	3494
889	28017	3462
890	28051	3431
891	28082	3400
892	28112	3368
893	28142	3336
894	28173	3305
895	28204	3273
896	28231	3241
897	28260	3209
898	28290	3178
899	28322	3146
900	28354	3115
901	28389	3084
902	28418	3052
903	28447	3021
904	28478	2989
905	28509	2957
906	28540	2926
907	28571	2894
908	28604	2863
909	28632	2831
910	28667	2800
911	28700	2769
912	28729	2737
913	28760	2706
914	28790	2674
915	28820	2642
916	28848	2611
917	28878	2579
918	28908	2547
919	28938	2516
920	28967	2484
921	28996	2453
922	29026	2421
923	29056	2389
924	29088	2358
925	29118	2326
926	29149	2295
927	29177	2263
928	29208	2232
929	29240	2200
930	29270	2169
931	29302	2137
932	29331	2106
933	29364	2075
934	29393	2043
935	29429	2012
936	29459	1980
937	29491	1949
938	29522	1917
939	29555	1886
940	29586	1855
941	29616	1823
942	29645	1791
943	29676	1760
944	29707	1729
945	29736	1697
946	29767	1665
947	29798	1634
948	29827	1602
949	29856	1571
950	29893	1540
951	29922	1508
952	29953	1477
953	29985	1445
954	30014	1414
955	30042	1382
956	30074	1351
957	30103	1319
958	30134	1288
959	30163	1256
960	30194	1225
961	30223	1193
962	30252	1162
963	30285	1130
964	30314	1099
965	30346	1068
966	30378	1036
967	30407	1005
968	30439	973
969	30474	942
970	30506	911
971	30538	879
972	30568	848
973	30600	816
974	30634	785
975	30666	754
976	30700	722
977	30732	691
978	30764	659
979	30795	628
980	30825	597
981	30857	565
982	30886	534
983	30915	502
984	30947	471
985	30977	439
986	31005	408
987	31035	376
988	31065	345
989	31095	314
990	31124	282
991	31154	251
992	31185	219
993	31213	188
994	31243	157
995	31272	125
996	31299	94
997	31329	62
998	31363	31
999	31392	0
