iter	RMSE
349	3654.943165
350	3652.680393
351	3649.939804
352	3647.650336
353	3646.66327
354	3644.356466
355	3641.200085
356	3638.903128
357	3635.271231
358	3633.075877
359	3632.241921
360	3629.115095
361	3626.40183
362	3623.379889
363	3619.459359
364	3616.960678
365	3615.00209
366	3612.553644
367	3610.71584
368	3608.27879
369	3606.160975
370	3603.836655
371	3602.056049
372	3596.536036
373	3592.301409
374	3589.924645
375	3586.775242
376	3582.78379
377	3579.665734
378	3576.653056
379	3572.407995
380	3570.062492
381	3567.775065
382	3563.840938
383	3560.998755
384	3557.915472
385	3555.484408
386	3551.604634
387	3548.873083
388	3546.504043
389	3544.492974
390	3542.734195
391	3540.541623
392	3538.089491
393	3535.046204
394	3532.554472
395	3530.720989
396	3528.564147
397	3526.145343
398	3521.153186
399	3517.811512
400	3515.753482
401	3513.8131
402	3511.864335
403	3510.42343
404	3509.271423
405	3507.973402
406	3506.40698
407	3505.580241
408	3502.347824
409	3500.061941
410	3498.231596
411	3497.077072
412	3495.323911
413	3493.642531
414	3491.337771
415	3489.112708
416	3486.208092
417	3483.936292
418	3479.610474
419	3478.385958
420	3475.682085
421	3472.495893
422	3469.504666
423	3468.563341
424	3466.849711
425	3462.577605
426	3460.243857
427	3457.928547
428	3456.601733
429	3455.258388
430	3452.674147
431	3451.816034
432	3450.165349
433	3447.164933
434	3443.981703
435	3442.273132
436	3440.4199
437	3439.63273
438	3438.50231
439	3434.465087
440	3433.310376
441	3431.921994
442	3431.178048
443	3428.786901
444	3425.974545
445	3421.991253
446	3421.129138
447	3416.209825
448	3415.21224
449	3413.410293
450	3410.676599
451	3408.664532
452	3407.635818
453	3406.233751
454	3404.229656
455	3403.362541
456	3402.466091
457	3400.931525
458	3398.522894
459	3397.562117
460	3397.063549
461	3393.147709
462	3392.375421
463	3389.893142
464	3387.958185
465	3386.613883
466	3385.749146
467	3382.440563
468	3380.615764
469	3378.447732
470	3377.013033
471	3374.489953
472	3371.723326
473	3370.726333
474	3369.698661
475	3365.547008
476	3363.08297
477	3361.451257
478	3360.108774
479	3358.565116
480	3356.353409
481	3353.675983
482	3350.467377
483	3348.222874
484	3347.367801
485	3343.821858
486	3342.614268
487	3340.205246
488	3338.011169
489	3335.689348
490	3333.495344
491	3330.950656
492	3330.038259
493	3327.786845
494	3326.619411
495	3325.080615
496	3321.885543
497	3320.278335
498	3316.922081
499	3314.146755
